Variable,GCM,Scenario,YearRange,Station,Raw_Pbias,BiasCorrected_Pbias,Raw_RMSE,BiasCorrected_RMSE,Raw_R2,BiasCorrected_R2,Raw_KGE,BiasCorrected_KGE,Raw_NSE,BiasCorrected_NSE,Raw_NRMSE,BiasCorrected_NRMSE
pr,CanESM5,ssp370,2015-2100,PRO,-77.1,-77.7,11.9536036321724,11.8792715459682,0.000425459322343702,3.40997667485089e-05,-0.466145511875654,-0.470185818104669,-0.350018308033939,-0.333280649004513,0.0980446492140127,0.0974349700292665
pr,CanESM5,ssp370,2015-2100,CIN,-75.5,-69.1,12.0510256758574,11.6801435712621,0.0038994894697385,0.00251207969626373,-0.478148573119845,-0.342188734666164,-0.390814642948523,-0.306524605594908,0.135945509959359,0.131761653895969
pr,CanESM5,ssp370,2015-2100,EBS,-62.3,-60.9,10.0895937541116,10.2600483627048,3.8764739706086e-06,0.000370904425837744,-0.280496908783572,-0.274192183752935,-0.430851904214746,-0.479606195640117,0.13603702073821,0.138335243807367
pr,CanESM5,ssp370,2015-2100,DVP,-70,-83.2,12.4049170103842,12.0110646090783,0.00371294116018394,0.00145184658589336,-0.401066640279771,-0.505694365176423,-0.467731853300497,-0.376011296971682,0.176950202704328,0.171332086743671
pr,CanESM5,ssp370,2015-2100,AXA,-65.7,-75.3,13.2823269843856,12.9286569588467,0.00238564622144853,4.31432909645384e-05,-0.355316311945643,-0.414286135099778,-0.441482249618907,-0.365739242723734,0.163926727030652,0.159561831496639
pr,CanESM5,ssp370,2015-2100,BNW,-74.5,-67.8,12.4488030344135,11.94702349121,0.00331591278609981,0.00518019952176304,-0.464152373559621,-0.323635690905976,-0.379996291135629,-0.270990087081199,0.138841460534156,0.133245114889362
pr,CanESM5,ssp370,2015-2100,EST,4.2,-13.5,8.68261745513262,8.35107715695345,0.000280694143975654,0.000174022518137717,-0.0893061727625761,-0.127509113464011,-0.394422581933179,-0.289965412351736,0.0874259163374008,0.084087612591915
pr,CanESM5,ssp585,2015-2100,OXV,-81.6,-66.4,11.1067035782149,10.7589814180763,0.000422409318575838,0.00406657132669806,-0.495579946852481,-0.291986229650146,-0.42956082990633,-0.341450316172403,0.163772207647157,0.158644923443279
pr,CanESM5,ssp585,2015-2100,I75,-84.4,-70.1,11.9124575921855,11.5548064024206,0.000779523962998396,1.34412975903165e-05,-0.521625961855051,-0.378988514518031,-0.549236331935752,-0.457606461769844,0.191426283017604,0.185679035873704
pr,CanESM5,ssp585,2015-2100,CAV,-62.7,-72.7,11.4998084027387,11.2228176465652,4.73606135985801e-06,4.32361796400436e-06,-0.287156150348065,-0.402851176955095,-0.430196589527355,-0.362129320570016,0.144187376532658,0.140714399500542
pr,CanESM5,ssp585,2015-2100,OTM,-41.3,25.1,7.47839909345954,8.69900607251604,2.87354585628095e-05,0.000158415494721754,-0.237137618861358,-0.0743216481641462,-0.165895406272981,-0.577544369950075,0.06646166166136,0.0773093801435812
pr,CanESM5,ssp585,2015-2100,IKV,-81.3,-69.2,11.0847335408349,11.1970018903577,0.0019745895802867,1.66926938589833e-06,-0.449626052725859,-0.347397446540933,-0.393610538185466,-0.421983015490778,0.144028657530143,0.145487407946229
pr,CanESM5,ssp585,2015-2100,OOA,-75.7,-57.7,8.78721319968979,8.78152863444266,2.45771035080265e-05,0.000393573309163839,-0.393663852339898,-0.27205382900694,-0.460519053249554,-0.458630006018633,0.18208067135702,0.181962880945766
pr,CanESM5,ssp585,2015-2100,PEA,-82.8,-80.2,15.8501587259873,15.8915767559102,0.00212402944638677,4.36895408734579e-05,-0.508317950787228,-0.517610905645295,-0.165268689046962,-0.171366570138676,0.0693357774540129,0.0695169586872714
pr,CanESM5,ssp585,2015-2100,MWM,-60.6,-70.3,10.4765497408166,10.5085379738269,0.0066655335851344,0.000111210129006789,-0.406753909051421,-0.359792248858171,-0.26319573381282,-0.270921385631912,0.119208840526337,0.11957282296922
pr,CanESM5,ssp585,2015-2100,OTG,9.2,2.7,8.0356244699459,8.07489336368847,0.000106783787572444,0.000598792175598106,-0.108229397614078,-0.0542748646142932,-0.319044007750328,-0.331967449417706,0.0714138076993468,0.0717627962859572
pr,CanESM5,ssp585,2015-2100,DSM,-47.8,4.1,8.0472221874159,8.91752623855267,0.000124259962238887,2.80278648872877e-05,-0.302426622376383,-0.0586567182856053,-0.142519021561119,-0.403008318179148,0.08825063263457,0.0977949053424064
pr,CanESM5,ssp585,2015-2100,SLB,-57,-70.1,10.5159619010005,10.1055978183689,0.00248741689118572,4.69870270204614e-06,-0.279273803507113,-0.359553590538385,-0.480685310313723,-0.367378604889669,0.113118647013904,0.108704421263811
pr,CanESM5,ssp585,2015-2100,CNC,-81.9,-68,12.2687126403364,12.0678225477164,0.000254766628068088,2.38886206416948e-05,-0.500007675787911,-0.364201160677629,-0.387419298345494,-0.34235558158735,0.122905898903412,0.120893415757212
pr,CanESM5,ssp585,2015-2100,PRO,-78.7,-76.8,11.8566995252423,11.8346768085348,0.000291205627608475,3.05609444857133e-05,-0.459832569488198,-0.455544409274349,-0.328218680945195,-0.323289177893728,0.0972498320639949,0.097069199545069
pr,CanESM5,ssp585,2015-2100,CIN,-78.3,-68.6,12.0011229264369,11.8883946241573,0.00198206885171302,0.000112395448363452,-0.495164838986468,-0.378565655925046,-0.379319891543473,-0.353529283775495,0.135382565783418,0.134110897549323
pr,CanESM5,ssp585,2015-2100,EBS,-67.3,-64.1,10.0066924350098,9.78829534415796,0.0025673944978113,0.00390248631599403,-0.384203568694334,-0.25472236647765,-0.407435264543566,-0.346670836775592,0.134919270237971,0.13197464329843
pr,CanESM5,ssp585,2015-2100,DVP,-73.3,-81.9,12.1670647480259,12.1637198281995,0.00358282738326395,0.0026435014493177,-0.458539783251575,-0.545665240385038,-0.41198678343547,-0.411210534854111,0.173557354045788,0.173509640365736
pr,CanESM5,ssp585,2015-2100,AXA,-70.7,-74.3,13.2079107775299,12.7751944926016,0.00145609365942877,0.00116177375899997,-0.389352355705297,-0.395716198188182,-0.425375261083713,-0.333509165962651,0.163008303230197,0.157667841095471
pr,CanESM5,ssp585,2015-2100,BNW,-75,-65.5,12.3042760721267,12.2655872158197,6.91775624957153e-05,1.10054483067097e-05,-0.434096720855931,-0.347179596060828,-0.348139587705978,-0.339674891820651,0.137229551784777,0.136798055093793
pr,CanESM5,ssp585,2015-2100,EST,-1.3,-10.7,8.44900325734119,8.20109139079807,0.000173950954818832,3.12635351898356e-05,-0.107496114286027,-0.133735352361961,-0.320395478345999,-0.244045820499174,0.0850736377282275,0.0825773948365595
